S.No,Name of City,State,
198,Tilda Newra,Chhattisgarh,
199,Mungeli,Chhattisgarh,
200,Manendragarh,Chhattisgarh,
201,Sakti,Chhattisgarh,
202,Silvassa,Dadra and Nagar Haveli,
203,Delhi,Delhi,
204,New Delhi,Delhi,
205,Marmagao,Goa,
206,Panaji,Goa,
207,Margao,Goa,
208,Mapusa,Goa,
209,Ahmedabad,Gujarat,
210,Surat,Gujarat,
211,Vadodara,Gujarat,
212,Rajkot,Gujarat,
213,Bhavnagar,Gujarat,
214,Jamnagar,Gujarat,
215,Nadiad,Gujarat,
216,Porbandar,Gujarat,
217,Anand,Gujarat,
218,Morvi,Gujarat,
219,Mahesana,Gujarat,
220,Bharuch,Gujarat,
221,Vapi,Gujarat,
222,Navsari,Gujarat,
223,Veraval,Gujarat,
224,Bhuj,Gujarat,
225,Godhra,Gujarat,
226,Palanpur,Gujarat,
227,Valsad,Gujarat,
228,Patan,Gujarat,
229,Deesa,Gujarat,
230,Amreli,Gujarat,
231,Anjar,Gujarat,
232,Dhoraji,Gujarat,
233,Khambhat,Gujarat,
234,Mahuva,Gujarat,
235,Keshod,Gujarat,
236,Wadhwan,Gujarat,
237,Ankleshwar,Gujarat,
238,Savarkundla,Gujarat,
239,Kadi,Gujarat,
240,Visnagar,Gujarat,
241,Upleta,Gujarat,
242,Una,Gujarat,
243,Sidhpur,Gujarat,
244,Unjha,Gujarat,
245,Mangrol,Gujarat,
246,Viramgam,Gujarat,
247,Modasa,Gujarat,
248,Palitana,Gujarat,
249,Petlad,Gujarat,
250,Kapadvanj,Gujarat,
251,Sihor,Gujarat,
252,Wankaner,Gujarat,
253,Limbdi,Gujarat,
254,Mandvi,Gujarat,
255,Thangadh,Gujarat,
256,Vyara,Gujarat,
257,Padra,Gujarat,
258,Lunawada,Gujarat,
259,Rajpipla,Gujarat,
260,Vapi,Gujarat,
261,Umreth,Gujarat,
262,Sanand,Gujarat,
263,Rajula,Gujarat,
264,Radhanpur,Gujarat,
265,Mahemdabad,Gujarat,
266,Ranavav,Gujarat,
267,Tharad,Gujarat,
268,Mansa,Gujarat,
269,Umbergaon,Gujarat,
270,Talaja,Gujarat,
271,Vadnagar,Gujarat,
272,Manavadar,Gujarat,
273,Salaya,Gujarat,
274,Vijapur,Gujarat,
275,Pardi,Gujarat,
276,Rapar,Gujarat,
277,Songadh,Gujarat,
278,Lathi,Gujarat,
279,Adalaj,Gujarat,
280,Chhapra,Gujarat,
281,Faridabad,Haryana,
282,Gurgaon,Haryana,
283,Hisar,Haryana,
284,Rohtak,Haryana,
285,Panipat,Haryana,
286,Karnal,Haryana,
287,Sonipat,Haryana,
288,Yamunanagar,Haryana,
289,Panchkula,Haryana,
290,Bhiwani,Haryana,
291,Bahadurgarh,Haryana,
292,Jind,Haryana,
293,Sirsa,Haryana,
294,Thanesar,Haryana,
295,Kaithal,Haryana,
296,Palwal,Haryana,
297,Rewari,Haryana,
298,Hansi,Haryana,
299,Narnaul,Haryana,
300,Fatehabad,Haryana,
301,Gohana,Haryana,
302,Tohana,Haryana,
303,Narwana,Haryana,
304,Mandi Dabwali,Haryana,
305,Charkhi Dadri,Haryana,
306,Shahbad,Haryana,
307,Pehowa,Haryana,
308,Samalkha,Haryana,
309,Pinjore,Haryana,
310,Ladwa,Haryana,
311,Sohna,Haryana,
312,Safidon,Haryana,
313,Taraori,Haryana,
314,Mahendragarh,Haryana,
315,Ratia,Haryana,
316,Rania,Haryana,
317,Sarsod,Haryana,
318,Shimla,Himachal Pradesh,
319,Mandi,Himachal Pradesh,
320,Solan,Himachal Pradesh,
321,Nahan,Himachal Pradesh,
322,Sundarnagar,Himachal Pradesh,
323,Palampur,Himachal Pradesh,
324,Srinagar,Jammu and Kashmir,
325,Jammu,Jammu and Kashmir,
326,Baramula,Jammu and Kashmir,
327,Anantnag,Jammu and Kashmir,
328,Sopore,Jammu and Kashmir,
329,KathUrban Agglomeration,Jammu and Kashmir,
330,Rajauri,Jammu and Kashmir,
331,Punch,Jammu and Kashmir,
332,Udhampur,Jammu and Kashmir,
333,Dhanbad,Jharkhand,
334,Ranchi,Jharkhand,
335,Jamshedpur,Jharkhand,
336,Bokaro Steel City,Jharkhand,
337,Deoghar,Jharkhand,
338,Phusro,Jharkhand,
339,Adityapur,Jharkhand,
340,Hazaribag,Jharkhand,
341,Giridih,Jharkhand,
342,Ramgarh,Jharkhand,
343,Jhumri Tilaiya,Jharkhand,
344,Saunda,Jharkhand,
345,Sahibganj,Jharkhand,
346,Medininagar (Daltonganj),Jharkhand,
347,Chaibasa,Jharkhand,
348,Chatra,Jharkhand,
349,Gumia,Jharkhand,
350,Dumka,Jharkhand,
351,Madhupur,Jharkhand,
352,Chirkunda,Jharkhand,
353,Pakaur,Jharkhand,
354,Simdega,Jharkhand,
355,Musabani,Jharkhand,
356,Mihijam,Jharkhand,
357,Patratu,Jharkhand,
358,Lohardaga,Jharkhand,
359,Tenu dam-cum-Kathhara,Jharkhand,
360,Bengaluru,Karnataka,
361,Hubli-Dharwad,Karnataka,
362,Belagavi,Karnataka,
363,Mangaluru,Karnataka,
364,Davanagere,Karnataka,
365,Ballari,Karnataka,
366,Tumkur,Karnataka,
367,Shivamogga,Karnataka,
368,Raayachuru,Karnataka,
369,Robertson Pet,Karnataka,
370,Kolar,Karnataka,
371,Mandya,Karnataka,
372,Udupi,Karnataka,
373,Chikkamagaluru,Karnataka,
374,Karwar,Karnataka,
375,Ranebennuru,Karnataka,
376,Ranibennur,Karnataka,
377,Ramanagaram,Karnataka,
378,Gokak,Karnataka,
379,Yadgir,Karnataka,
380,Rabkavi Banhatti,Karnataka,
381,Shahabad,Karnataka,
382,Sirsi,Karnataka,
383,Sindhnur,Karnataka,
384,Tiptur,Karnataka,
385,Arsikere,Karnataka,
386,Nanjangud,Karnataka,
387,Sagara,Karnataka,
388,Sira,Karnataka,
389,Puttur,Karnataka,
390,Athni,Karnataka,
391,Mulbagal,Karnataka,
392,Surapura,Karnataka,
393,Siruguppa,Karnataka,
394,Mudhol,Karnataka,
395,Sidlaghatta,Karnataka,
396,Shahpur,Karnataka,
397,Saundatti-Yellamma,Karnataka,
398,Wadi,Karnataka,
399,Manvi,Karnataka,
400,Nelamangala,Karnataka,
401,Lakshmeshwar,Karnataka,
402,Ramdurg,Karnataka,
403,Nargund,Karnataka,
404,Tarikere,Karnataka,
405,Malavalli,Karnataka,
406,Savanur,Karnataka,
407,Lingsugur,Karnataka,
408,Vijayapura,Karnataka,
409,Sankeshwara,Karnataka,
410,Madikeri,Karnataka,
411,Talikota,Karnataka,
412,Sedam,Karnataka,
413,Shikaripur,Karnataka,
414,Mahalingapura,Karnataka,
415,Mudalagi,Karnataka,
416,Muddebihal,Karnataka,
417,Pavagada,Karnataka,
418,Malur,Karnataka,
419,Sindhagi,Karnataka,
420,Sanduru,Karnataka,
421,Afzalpur,Karnataka,
422,Maddur,Karnataka,
423,Madhugiri,Karnataka,
424,Tekkalakote,Karnataka,
425,Terdal,Karnataka,
426,Mudabidri,Karnataka,
427,Magadi,Karnataka,
428,Navalgund,Karnataka,
429,Shiggaon,Karnataka,
430,Shrirangapattana,Karnataka,
431,Sindagi,Karnataka,
432,Sakaleshapura,Karnataka,
433,Srinivaspur,Karnataka,
434,Ron,Karnataka,
435,Mundargi,Karnataka,
436,Sadalagi,Karnataka,
437,Piriyapatna,Karnataka,
438,Adyar,Karnataka,
439,Mysore,Karnatka,
440,Thiruvananthapuram,Kerala,
441,Kochi,Kerala,
442,Kozhikode,Kerala,
443,Kollam,Kerala,
444,Thrissur,Kerala,
445,Palakkad,Kerala,
446,Alappuzha,Kerala,
447,Malappuram,Kerala,
448,Ponnani,Kerala,
449,Vatakara,Kerala,
450,Kanhangad,Kerala,
451,Taliparamba,Kerala,
452,Koyilandy,Kerala,
453,Neyyattinkara,Kerala,
454,Kayamkulam,Kerala,
455,Nedumangad,Kerala,
456,Kannur,Kerala,
457,Tirur,Kerala,
458,Kottayam,Kerala,
459,Kasaragod,Kerala,
460,Kunnamkulam,Kerala,
461,Ottappalam,Kerala,
462,Thiruvalla,Kerala,
463,Thodupuzha,Kerala,
464,Chalakudy,Kerala,
465,Changanassery,Kerala,
466,Punalur,Kerala,
467,Nilambur,Kerala,
468,Cherthala,Kerala,
469,Perinthalmanna,Kerala,
470,Mattannur,Kerala,
471,Shoranur,Kerala,
472,Varkala,Kerala,
473,Paravoor,Kerala,
474,Pathanamthitta,Kerala,
475,Peringathur,Kerala,
476,Attingal,Kerala,
477,Kodungallur,Kerala,
478,Pappinisseri,Kerala,
479,Chittur-Thathamangalam,Kerala,
480,Muvattupuzha,Kerala,
481,Adoor,Kerala,
482,Mavelikkara,Kerala,
483,Mavoor,Kerala,
484,Perumbavoor,Kerala,
485,Vaikom,Kerala,
486,Palai,Kerala,
487,Panniyannur,Kerala,
488,Guruvayoor,Kerala,
489,Puthuppally,Kerala,
490,Panamattom,Kerala,
491,Indore,Madhya Pradesh,
492,Bhopal,Madhya Pradesh,
493,Jabalpur,Madhya Pradesh,
494,Gwalior,Madhya Pradesh,
495,Ujjain,Madhya Pradesh,
496,Sagar,Madhya Pradesh,
497,Ratlam,Madhya Pradesh,
498,Satna,Madhya Pradesh,
499,Murwara (Katni),Madhya Pradesh,
500,Morena,Madhya Pradesh,
501,Singrauli,Madhya Pradesh,
502,Rewa,Madhya Pradesh,
503,Vidisha,Madhya Pradesh,
504,Ganjbasoda,Madhya Pradesh,
505,Shivpuri,Madhya Pradesh,
506,Mandsaur,Madhya Pradesh,
507,Neemuch,Madhya Pradesh,
508,Nagda,Madhya Pradesh,
509,Itarsi,Madhya Pradesh,
510,Sarni,Madhya Pradesh,
511,Sehore,Madhya Pradesh,
512,Mhow Cantonment,Madhya Pradesh,
513,Seoni,Madhya Pradesh,
514,Balaghat,Madhya Pradesh,
515,Ashok Nagar,Madhya Pradesh,
516,Tikamgarh,Madhya Pradesh,
517,Shahdol,Madhya Pradesh,
518,Pithampur,Madhya Pradesh,
519,Alirajpur,Madhya Pradesh,
520,Mandla,Madhya Pradesh,
521,Sheopur,Madhya Pradesh,
522,Shajapur,Madhya Pradesh,
523,Panna,Madhya Pradesh,
524,Raghogarh-Vijaypur,Madhya Pradesh,
525,Sendhwa,Madhya Pradesh,
526,Sidhi,Madhya Pradesh,
527,Pipariya,Madhya Pradesh,
528,Shujalpur,Madhya Pradesh,
529,Sironj,Madhya Pradesh,
530,Pandhurna,Madhya Pradesh,
531,Nowgong,Madhya Pradesh,
532,Mandideep,Madhya Pradesh,
533,Sihora,Madhya Pradesh,
534,Raisen,Madhya Pradesh,
535,Lahar,Madhya Pradesh,
536,Maihar,Madhya Pradesh,
537,Sanawad,Madhya Pradesh,
538,Sabalgarh,Madhya Pradesh,
539,Umaria,Madhya Pradesh,
540,Porsa,Madhya Pradesh,
541,Narsinghgarh,Madhya Pradesh,
542,Malaj Khand,Madhya Pradesh,
543,Sarangpur,Madhya Pradesh,
544,Mundi,Madhya Pradesh,
545,Nepanagar,Madhya Pradesh,
546,Pasan,Madhya Pradesh,
547,Mahidpur,Madhya Pradesh,
548,Seoni-Malwa,Madhya Pradesh,
549,Rehli,Madhya Pradesh,
550,Manawar,Madhya Pradesh,
551,Rahatgarh,Madhya Pradesh,
552,Panagar,Madhya Pradesh,
553,Wara Seoni,Madhya Pradesh,
554,Tarana,Madhya Pradesh,
555,Sausar,Madhya Pradesh,
556,Rajgarh,Madhya Pradesh,
557,Niwari,Madhya Pradesh,
558,Mauganj,Madhya Pradesh,
559,Manasa,Madhya Pradesh,
560,Nainpur,Madhya Pradesh,
561,Prithvipur,Madhya Pradesh,
562,Sohagpur,Madhya Pradesh,
563,Nowrozabad (Khodargama),Madhya Pradesh,
564,Shamgarh,Madhya Pradesh,
565,Maharajpur,Madhya Pradesh,
566,Multai,Madhya Pradesh,
567,Pali,Madhya Pradesh,
568,Pachore,Madhya Pradesh,
569,Rau,Madhya Pradesh,
570,Mhowgaon,Madhya Pradesh,
571,Vijaypur,Madhya Pradesh,
572,Narsinghgarh,Madhya Pradesh,
573,Mumbai,Maharashtra,
574,Pune,Maharashtra,
575,Nagpur,Maharashtra,
576,Thane,Maharashtra,
577,Nashik,Maharashtra,
578,Kalyan-Dombivali,Maharashtra,
579,Vasai-Virar,Maharashtra,
580,Solapur,Maharashtra,
581,Mira-Bhayandar,Maharashtra,
582,Bhiwandi,Maharashtra,
583,Amravati,Maharashtra,
584,Nanded-Waghala,Maharashtra,
585,Sangli,Maharashtra,
586,Malegaon,Maharashtra,
587,Akola,Maharashtra,
588,Latur,Maharashtra,
589,Dhule,Maharashtra,
590,Ahmednagar,Maharashtra,
591,Ichalkaranji,Maharashtra,
592,Parbhani,Maharashtra,
593,Panvel,Maharashtra,
594,Yavatmal,Maharashtra,
595,Achalpur,Maharashtra,
596,Osmanabad,Maharashtra,
597,Nandurbar,Maharashtra,
598,Satara,Maharashtra,
599,Wardha,Maharashtra,
600,Udgir,Maharashtra,
601,Aurangabad,Maharashtra,
602,Amalner,Maharashtra,
603,Akot,Maharashtra,
604,Pandharpur,Maharashtra,
605,Shrirampur,Maharashtra,
606,Parli,Maharashtra,
607,Washim,Maharashtra,
608,Ambejogai,Maharashtra,
609,Manmad,Maharashtra,
610,Ratnagiri,Maharashtra,
611,Uran Islampur,Maharashtra,
612,Pusad,Maharashtra,
613,Sangamner,Maharashtra,
614,Shirpur-Warwade,Maharashtra,
615,Malkapur,Maharashtra,
616,Wani,Maharashtra,
617,Lonavla,Maharashtra,
618,Talegaon Dabhade,Maharashtra,
619,Anjangaon,Maharashtra,
620,Umred,Maharashtra,
621,Palghar,Maharashtra,
622,Shegaon,Maharashtra,
623,Ozar,Maharashtra,
624,Phaltan,Maharashtra,
625,Yevla,Maharashtra,
626,Shahade,Maharashtra,
627,Vita,Maharashtra,
628,Umarkhed,Maharashtra,
629,Warora,Maharashtra,
630,Pachora,Maharashtra,
631,Tumsar,Maharashtra,
632,Manjlegaon,Maharashtra,
633,Sillod,Maharashtra,
634,Arvi,Maharashtra,
635,Nandura,Maharashtra,
636,Vaijapur,Maharashtra,
637,Wadgaon Road,Maharashtra,
638,Sailu,Maharashtra,
639,Murtijapur,Maharashtra,
640,Tasgaon,Maharashtra,
641,Mehkar,Maharashtra,
642,Yawal,Maharashtra,
643,Pulgaon,Maharashtra,
644,Nilanga,Maharashtra,
645,Wai,Maharashtra,
646,Umarga,Maharashtra,
647,Paithan,Maharashtra,
648,Rahuri,Maharashtra,
649,Nawapur,Maharashtra,
650,Tuljapur,Maharashtra,
651,Morshi,Maharashtra,
652,Purna,Maharashtra,
653,Satana,Maharashtra,
654,Pathri,Maharashtra,
655,Sinnar,Maharashtra,
656,Uchgaon,Maharashtra,
657,Uran,Maharashtra,
658,Pen,Maharashtra,
659,Karjat,Maharashtra,
660,Manwath,Maharashtra,
661,Partur,Maharashtra,
662,Sangole,Maharashtra,
663,Mangrulpir,Maharashtra,
664,Risod,Maharashtra,
665,Shirur,Maharashtra,
666,Savner,Maharashtra,
667,Sasvad,Maharashtra,
668,Pandharkaoda,Maharashtra,
669,Talode,Maharashtra,
670,Shrigonda,Maharashtra,
671,Shirdi,Maharashtra,
672,Raver,Maharashtra,
673,Mukhed,Maharashtra,
674,Rajura,Maharashtra,
675,Vadgaon Kasba,Maharashtra,
676,Tirora,Maharashtra,
677,Mahad,Maharashtra,
678,Lonar,Maharashtra,
679,Sawantwadi,Maharashtra,
680,Pathardi,Maharashtra,
681,Pauni,Maharashtra,
682,Ramtek,Maharashtra,
683,Mul,Maharashtra,
684,Soyagaon,Maharashtra,
685,Mangalvedhe,Maharashtra,
686,Narkhed,Maharashtra,
687,Shendurjana,Maharashtra,
688,Patur,Maharashtra,
689,Mhaswad,Maharashtra,
690,Loha,Maharashtra,
691,Nandgaon,Maharashtra,
692,Warud,Maharashtra,
693,Imphal,Manipur,
694,Thoubal,Manipur,
695,Lilong,Manipur,
696,Mayang Imphal,Manipur,
697,Shillong,Meghalaya,
698,Tura,Meghalaya,
699,Nongstoin,Meghalaya,
700,Aizawl,Mizoram,
701,Lunglei,Mizoram,
702,Saiha,Mizoram,
703,Dimapur,Nagaland,
704,Kohima,Nagaland,
705,Zunheboto,Nagaland,
706,Tuensang,Nagaland,
707,Wokha,Nagaland,
708,Mokokchung,Nagaland,
709,Bhubaneswar,Odisha,
710,Cuttack,Odisha,
711,Raurkela,Odisha,
712,Brahmapur,Odisha,
713,Sambalpur,Odisha,
714,Puri,Odisha,
715,Baleshwar Town,Odisha,
716,Baripada Town,Odisha,
717,Bhadrak,Odisha,
718,Balangir,Odisha,
719,Jharsuguda,Odisha,
720,Bargarh,Odisha,
721,Paradip,Odisha,
722,Bhawanipatna,Odisha,
723,Dhenkanal,Odisha,
724,Barbil,Odisha,
725,Kendujhar,Odisha,
726,Sunabeda,Odisha,
727,Rayagada,Odisha,
728,Jatani,Odisha,
729,Byasanagar,Odisha,
730,Kendrapara,Odisha,
731,Rajagangapur,Odisha,
732,Parlakhemundi,Odisha,
733,Talcher,Odisha,
734,Sundargarh,Odisha,
735,Phulabani,Odisha,
736,Pattamundai,Odisha,
737,Titlagarh,Odisha,
738,Nabarangapur,Odisha,
739,Soro,Odisha,
740,Malkangiri,Odisha,
741,Rairangpur,Odisha,
742,Tarbha,Odisha,
743,Pondicherry,Puducherry,
744,Karaikal,Puducherry,
745,Yanam,Puducherry,
746,Mahe,Puducherry,
747,Ludhiana,Punjab,
748,Patiala,Punjab,
749,Amritsar,Punjab,
750,Jalandhar,Punjab,
751,Bathinda,Punjab,
752,Pathankot,Punjab,
753,Hoshiarpur,Punjab,
754,Batala,Punjab,
755,Moga,Punjab,
756,Malerkotla,Punjab,
757,Khanna,Punjab,
758,Mohali,Punjab,
759,Barnala,Punjab,
760,Firozpur,Punjab,
761,Phagwara,Punjab,
762,Kapurthala,Punjab,
763,Zirakpur,Punjab,
764,Kot Kapura,Punjab,
765,Faridkot,Punjab,
766,Muktsar,Punjab,
767,Rajpura,Punjab,
768,Sangrur,Punjab,
769,Fazilka,Punjab,
770,Gurdaspur,Punjab,
771,Kharar,Punjab,
772,Gobindgarh,Punjab,
773,Mansa,Punjab,
774,Malout,Punjab,
775,Nabha,Punjab,
776,Tarn Taran,Punjab,
777,Jagraon,Punjab,
778,Sunam,Punjab,
779,Dhuri,Punjab,
780,Firozpur Cantt.,Punjab,
781,Sirhind Fatehgarh Sahib,Punjab,
782,Rupnagar,Punjab,
783,Jalandhar Cantt.,Punjab,
784,Samana,Punjab,
785,Nawanshahr,Punjab,
786,Rampura Phul,Punjab,
787,Nangal,Punjab,
788,Nakodar,Punjab,
789,Zira,Punjab,
790,Patti,Punjab,
791,Raikot,Punjab,
792,Longowal,Punjab,
793,Urmar Tanda,Punjab,
794,"Morinda, India",Punjab,
795,Phillaur,Punjab,
796,Pattran,Punjab,
797,Qadian,Punjab,
798,Sujanpur,Punjab,
799,Mukerian,Punjab,
800,Talwara,Punjab,
801,Jaipur,Rajasthan,
802,Jodhpur,Rajasthan,
803,Bikaner,Rajasthan,
804,Udaipur,Rajasthan,
805,Ajmer,Rajasthan,
806,Bhilwara,Rajasthan,
807,Alwar,Rajasthan,
808,Bharatpur,Rajasthan,
809,Pali,Rajasthan,
810,Barmer,Rajasthan,
811,Sikar,Rajasthan,
812,Tonk,Rajasthan,
813,Sadulpur,Rajasthan,
814,Sawai Madhopur,Rajasthan,
815,Nagaur,Rajasthan,
816,Makrana,Rajasthan,
817,Sujangarh,Rajasthan,
818,Sardarshahar,Rajasthan,
819,Ladnu,Rajasthan,
820,Ratangarh,Rajasthan,
821,Nokha,Rajasthan,
822,Nimbahera,Rajasthan,
823,Suratgarh,Rajasthan,
824,Rajsamand,Rajasthan,
825,Lachhmangarh,Rajasthan,
826,Rajgarh (Churu),Rajasthan,
827,Nasirabad,Rajasthan,
828,Nohar,Rajasthan,
829,Phalodi,Rajasthan,
830,Nathdwara,Rajasthan,
831,Pilani,Rajasthan,
832,Merta City,Rajasthan,
833,Sojat,Rajasthan,
834,Neem-Ka-Thana,Rajasthan,
835,Sirohi,Rajasthan,
836,Pratapgarh,Rajasthan,
837,Rawatbhata,Rajasthan,
838,Sangaria,Rajasthan,
839,Lalsot,Rajasthan,
840,Pilibanga,Rajasthan,
841,Pipar City,Rajasthan,
842,Taranagar,Rajasthan,
843,"Vijainagar, Ajmer",Rajasthan,
